Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Barra da Tijuca;1;1;1;70;1700.0;870.0;143.0;24.29;Apartamento
Apartamento;Tijuca;2;1;0;80;1800.0;1100.0;84.0;22.5;Apartamento
Casa de Vila;Piedade;2;1;0;70;1300.0;0.0;0.0;18.57;Casa
Apartamento;Botafogo;2;1;1;83;2800.0;560.0;138.0;33.73;Apartamento
Apartamento;Botafogo;2;1;1;80;4300.0;1178.0;187.0;53.75;Apartamento
Apartamento;Copacabana;2;1;0;67;3500.0;950.0;160.0;52.24;Apartamento
Apartamento;Catete;2;0;0;77;2400.0;1130.0;140.0;31.17;Apartamento
Apartamento;Leblon;3;1;0;85;3900.0;800.0;1211.0;45.88;Apartamento
Apartamento;Catete;2;0;0;75;3350.0;455.0;0.0;44.67;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;90;1200.0;880.0;144.0;13.33;Apartamento
Apartamento;Praça Seca;2;0;0;80;900.0;350.0;0.0;11.25;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;74;1700.0;652.0;104.0;22.97;Apartamento
Apartamento;Botafogo;3;1;1;100;5500.0;1300.0;220.0;55.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;75;1000.0;1040.0;112.0;13.33;Apartamento
Apartamento;Barra da Tijuca;2;1;1;72;2600.0;1700.0;237.0;36.11;Apartamento
Apartamento;Taquara;2;1;0;75;1200.0;330.0;75.0;16.0;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;71;1200.0;600.0;54.0;16.9;Apartamento
Apartamento;Tijuca;3;0;0;87;1600.0;650.0;100.0;18.39;Apartamento
Apartamento;Copacabana;3;0;0;100;3300.0;850.0;90.0;33.0;Apartamento
Apartamento;Barra da Tijuca;3;1;2;93;2500.0;1100.0;0.0;26.88;Apartamento
Apartamento;Engenho Novo;2;2;0;78;800.0;915.0;55.0;10.26;Apartamento
Apartamento;Barra da Tijuca;2;1;1;85;2500.0;1573.0;197.0;29.41;Apartamento
Apartamento;Botafogo;2;1;1;70;3700.0;1133.0;147.0;52.86;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;95;1600.0;650.0;0.0;16.84;Apartamento
Apartamento;Campo Grande;2;0;0;60;1200.0;570.0;0.0;20.0;Apartamento
Apartamento;Engenho de Dentro;3;1;1;61;1400.0;498.0;0.0;22.95;Apartamento
Apartamento;Tijuca;3;1;1;78;2500.0;730.0;178.0;32.05;Apartamento
Apartamento;Lagoa;3;1;1;75;4000.0;1250.0;309.0;53.33;Apartamento
Apartamento;Tijuca;1;0;0;65;1200.0;320.0;0.0;18.46;Apartamento
Apartamento;Barra da Tijuca;2;1;0;60;1500.0;1266.0;233.0;25.0;Apartamento
Apartamento;Barra da Tijuca;2;1;1;83;2000.0;1548.0;260.0;24.1;Apartamento
Apartamento;Barra da Tijuca;3;1;1;84;1900.0;1103.0;212.0;22.62;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;77;1600.0;850.0;165.0;20.78;Apartamento
Apartamento;Tijuca;3;0;0;75;1800.0;350.0;0.0;24.0;Apartamento
