Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Apartamento;Barra da Tijuca;3;2;3;89;4500.0;1200.0;211.0
Apartamento;Barra da Tijuca;2;1;1;69;2500.0;940.0;800.0
Apartamento;Botafogo;1;1;0;65;2200.0;679.0;27.0
Apartamento;Barra da Tijuca;2;1;2;100;10000.0;5155.0;502.0
Apartamento;Méier;3;0;0;60;1300.0;450.0;
Apartamento;Barra da Tijuca;2;2;1;75;1400.0;800.0;100.0
Apartamento;Tijuca;2;1;1;70;1600.0;740.0;
Apartamento;Leblon;2;2;1;65;5000.0;1950.0;300.0
Apartamento;Leblon;2;0;1;71;6700.0;2070.0;
Apartamento;Freguesia (Jacarepaguá);2;1;1;70;1300.0;720.0;85.0
Apartamento;Vila Isabel;3;1;0;95;1250.0;650.0;60.0
Apartamento;Barra da Tijuca;2;1;1;67;2000.0;1300.0;119.0
Apartamento;Andaraí;3;0;0;64;1300.0;310.0;20.0
Apartamento;Ipanema;3;0;0;90;3500.0;998.0;95.0
Apartamento;Copacabana;3;1;0;90;3800.0;900.0;230.0
Apartamento;Recreio dos Bandeirantes;3;1;1;82;2000.0;989.0;1313.0
Apartamento;Tijuca;2;1;1;85;1600.0;960.0;90.0
Apartamento;Méier;2;1;0;77;1000.0;925.0;
Apartamento;Barra da Tijuca;1;1;1;69;1900.0;1007.0;159.0
Apartamento;Maracanã;2;1;1;85;2500.0;492.0;
Apartamento;Tijuca;3;1;1;80;3000.0;967.0;184.0
Apartamento;Barra da Tijuca;2;1;1;70;1150.0;1260.0;160.0
Apartamento;Leblon;2;1;1;90;3500.0;1150.0;3300.0
Apartamento;Laranjeiras;2;1;0;63;2500.0;968.0;93.0
Apartamento;Laranjeiras;2;1;0;79;2300.0;780.0;118.0
Apartamento;Jardim Botânico;2;2;1;83;3500.0;1790.0;196.0
Apartamento;Vila Isabel;2;0;0;80;1700.0;450.0;60.0
Apartamento;Barra da Tijuca;2;1;1;60;2800.0;900.0;149.0
Apartamento;Ipanema;2;0;0;73;3000.0;700.0;190.0
Apartamento;Leblon;2;1;0;73;3800.0;1100.0;210.0
Casa;Piedade;2;0;0;95;1100.0;;
Apartamento;Vila Isabel;2;2;1;91;2000.0;600.0;145.0
